종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
3410,쌍용C&E,KOSPI,,7870,-110,-1.38,7950,7960,7850,673974,5313189690,3.96538E+12,503859595
3460,유화증권,KOSPI,,2780,0,0,2765,2780,2740,17766,49163345,1.57633E+11,56702415
3465,유화증권우,KOSPI,,2765,0,0,2765,2780,2750,399,1100990,48322315125,17476425
3470,유안타증권,KOSPI,,4325,-70,-1.59,4360,4380,4260,442659,1904415380,8.63255E+11,199596576
3475,유안타증권우,KOSPI,,4365,-55,-1.24,4400,4410,4260,18599,80355825,56361805380,12912212
3480,한진중공업홀딩스,KOSPI,,4255,-55,-1.28,4310,4395,4190,75902,321479920,1.25649E+11,29529812
3490,대한항공,KOSPI,,30550,100,0.33,30100,31050,30000,2424645,74023667200,1.06259E+13,347820825
3495,대한항공우,KOSPI,,38900,-200,-0.51,39100,39100,38350,3954,153160750,43209886600,1110794
3520,영진약품,KOSPI,,4535,-65,-1.41,4580,4650,4535,419849,1916925660,8.29419E+11,182892731
3530,한화투자증권,KOSPI,,5190,-100,-1.89,5150,5400,5150,3292830,17266441200,1.1135E+12,214547775
3535,한화투자증권우,KOSPI,,12900,-200,-1.53,12800,13000,12800,29726,383558850,61920000000,4800000
3540,대신증권,KOSPI,,19950,-50,-0.25,19900,20050,19700,46618,928378450,1.01293E+12,50773400
3545,대신증권우,KOSPI,,18500,0,0,18350,18500,18350,39923,735386400,4.81E+11,26000000
3547,대신증권2우B,KOSPI,,17700,-50,-0.28,17750,17800,17600,28707,508340400,1.77E+11,10000000
3550,LG,KOSPI,,89200,-2000,-2.19,90100,90600,89000,211294,18878899200,1.40312E+13,157300993
3555,LG우,KOSPI,,65300,400,0.62,64900,65500,63500,5535,359667900,1.97312E+11,3021620
3560,IHQ,KOSPI,,1795,-25,-1.37,1805,1870,1730,6913228,12561784360,2.62493E+11,146235748
3570,SNT중공업,KOSPI,,9100,-20,-0.22,9120,9160,9050,14589,132470140,3.026E+11,33252697
3580,넥스트사이언스,KOSPI,,15850,-100,-0.63,15950,16500,15250,971171,15265993300,6.65951E+11,42015837
3610,방림,KOSPI,,3075,10,0.33,3495,3500,2910,8205094,26430627140,1.30116E+11,42314090
3620,쌍용차,KOSPI,,2770,0,0,0,0,0,0,0,4.15057E+11,149840002
3650,미창석유,KOSPI,,79400,0,0,79000,79400,78600,821,64804000,1.3813E+11,1739672
3670,포스코케미칼,KOSPI,,140000,0,0,140000,143000,139000,356220,50100943500,1.08449E+13,77463220
3680,한성기업,KOSPI,,6200,-140,-2.21,6280,6310,6200,17540,109791960,38498993000,6209515
3690,코리안리,KOSPI,,9430,10,0.11,9420,9480,9360,249121,2347586090,1.13508E+12,120369116
3720,삼영화학,KOSPI,,2940,5,0.17,2930,3020,2915,175852,520285650,99960000000,34000000
3780,진양산업,KOSPI,,8220,510,6.61,7620,8300,7520,639821,5158280650,1.0686E+11,13000000
3800,에이스침대,KOSDAQ,우량기업부,46500,-150,-0.32,46600,46600,45300,1276,58483650,5.15685E+11,11090000
3830,대한화섬,KOSPI,,139000,1000,0.72,137000,139500,137000,1352,187285000,1.84592E+11,1328000
3850,보령제약,KOSPI,,13900,-150,-1.07,14050,14100,13650,220121,3044387850,9.54791E+11,68690000
3920,남양유업,KOSPI,,429500,-2500,-0.58,429000,432500,427000,1872,802795000,3.0924E+11,720000
3925,남양유업우,KOSPI,,219500,-1000,-0.45,218500,220500,218500,195,42705500,36582309000,166662
3960,사조대림,KOSPI,,25650,350,1.38,25000,25650,24700,21942,555547250,2.35069E+11,9164467
4000,롯데정밀화학,KOSPI,,79400,600,0.76,78400,80700,77300,180641,14332225800,2.04852E+12,25800000
4020,현대제철,KOSPI,,39950,-350,-0.87,40100,40900,39550,667757,26785818750,5.33116E+12,133445785
4060,SG세계물산,KOSPI,,656,-2,-0.3,645,668,645,360986,237496120,1.32791E+11,202424960
4080,신흥,KOSPI,,16050,-100,-0.62,16250,16250,15850,6852,109911800,1.52475E+11,9500000
4090,한국석유,KOSPI,,11950,0,0,11900,12100,11800,42438,506559300,1.51695E+11,12694120
4100,태양금속,KOSPI,,1460,-50,-3.31,1495,1525,1440,310323,458011155,53582000000,36700000
4105,태양금속우,KOSPI,,2545,-140,-5.21,2625,2625,2540,76367,197713265,8398500000,3300000
4140,동방,KOSPI,,4175,-365,-8.04,4440,4520,4145,1711320,7366326355,1.66882E+11,39971766
4150,한솔홀딩스,KOSPI,,3585,-20,-0.55,3590,3605,3560,71840,257524370,1.50601E+11,42008577
4170,신세계,KOSPI,,239500,-500,-0.21,238000,239500,235500,66434,15816987500,2.35792E+12,9845181
4250,NPC,KOSPI,,6240,710,12.84,5620,6940,5620,15187448,98492948490,2.29133E+11,36720000
4255,NPC우,KOSPI,,3110,95,3.15,3050,3335,3050,101953,331570750,16420800000,5280000
4270,남성,KOSPI,,3110,-110,-3.42,3220,3300,3030,251243,794778250,1.1262E+11,36212160
4310,현대약품,KOSPI,,5410,-120,-2.17,5480,5530,5370,141875,768343440,1.7312E+11,32000000
4360,세방,KOSPI,,11750,-100,-0.84,11600,11800,11500,86377,1004715600,2.26877E+11,19308690
4365,세방우,KOSPI,,6970,0,0,6970,6970,6930,307,2131760,25714072500,3689250
4370,농심,KOSPI,,280500,2500,0.9,276500,282000,275000,18133,5074735000,1.70618E+12,6082642
4380,삼익THK,KOSPI,,11350,0,0,11300,11450,11200,22544,254867300,2.3835E+11,21000000
4410,서울식품,KOSPI,,308,-4,-1.28,309,317,306,2772391,862603455,1.14673E+11,372316535
4415,서울식품우,KOSPI,,4195,0,0,4195,4195,4190,2563,10743780,9331777500,2224500
4430,송원산업,KOSPI,,17100,-250,-1.44,17100,17300,16950,155474,2655152400,4.104E+11,24000000
4440,삼일씨엔에스,KOSPI,,9650,-150,-1.53,9800,9890,9650,37392,363852840,1.22863E+11,12731947
4450,삼화왕관,KOSPI,,42700,-250,-0.58,42700,42950,42600,3026,129201350,91991983300,2154379
4490,세방전지,KOSPI,,78000,-700,-0.89,78300,78500,76600,69170,5348303200,1.092E+12,14000000
4540,깨끗한나라,KOSPI,,4725,-95,-1.97,4820,4850,4705,218581,1039036465,1.75962E+11,37240693
