종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2019
305090,마이크로디지탈 ,15700,-100,-0.63,,,3050,5.15,0,0,,
306200,세아제강 ,62500,400,0.64,2481,25.19,195132,0.32,1800,2.88,,
306620,DB금융스팩6호 ,2150,0,0,,,,,0,0,,
307070,SK4호스팩 ,2070,-5,-0.24,,,,,0,0,,
307160,하나머스트제6호스팩 ,2105,-5,-0.24,,,,,0,0,,
307180,신영스팩4호 ,2380,50,2.15,,,,,0,0,,
307280,교보8호스팩 ,2110,-5,-0.24,,,,,0,0,,
307750,대신밸런스제6호스팩 ,2090,30,1.46,,,,,0,0,,
307870,상상인이안1호스팩 ,2045,0,0,,,,,0,0,,
307930,컴퍼니케이 ,8730,370,4.43,442,19.75,2021,4.32,0,0,,
307950,현대오토에버 ,53900,-100,-0.19,2614,20.62,21602,2.5,690,1.28,,
308100,까스텔바작 ,10800,200,1.89,1869,5.78,10464,1.03,0,0,,
309930,삼성머스트스팩3호 ,2060,0,0,,,,,0,0,,
310200,미래에셋대우스팩2호 ,2045,-25,-1.21,,,,,0,0,,
310840,엔에이치스팩13호 ,2090,0,0,,,,,0,0,,
310870,한국제8호스팩 ,2070,-55,-2.59,,,,,0,0,,
311270,키움제5호스팩 ,2055,-5,-0.24,,,,,0,0,,
311390,네오크레마 ,10500,1900,22.09,895,11.73,4090,2.57,0,0,,
312610,에이에프더블류 ,13600,-50,-0.37,1089,12.49,2684,5.07,100,0.74,,
313750,유안타제4호스팩 ,2040,-5,-0.24,,,,,0,0,,
313760,윌링스 ,14150,-300,-2.08,1115,12.69,5476,2.58,6,0.04,,
316140,우리금융지주 ,12200,-100,-0.81,,,,,0,0,,
317030,케이비17호스팩 ,2075,30,1.47,,,,,0,0,,
317120,라닉스 ,7170,70,0.99,110,65.18,751,9.55,0,0,,
317240,하이제4호스팩 ,2075,0,0,,,,,0,0,,
317320,한화에스비아이스팩 ,3180,-35,-1.09,,,,,0,0,,
317330,덕산테코피아 ,17400,300,1.75,1258,13.83,4058,4.29,0,0,,
317400,자이에스앤디 ,5760,0,0,964,5.98,3437,1.68,0,0,,
317530,캐리소프트 ,9760,250,2.63,,,490,19.92,0,0,,
317770,슈프리마아이디 ,19950,-100,-0.5,1627,12.26,8623,2.31,0,0,,
317830,에스피시스템스 ,7100,-310,-4.18,534,13.3,2925,2.43,20,0.28,,
317850,대모 ,7060,-90,-1.26,475,14.86,5129,1.38,255,3.61,,
317870,엔바이오니아 ,9120,30,0.33,125,72.96,1046,8.72,0,0,,
318000,한국바이오젠 ,7990,-210,-2.56,387,20.65,1995,4.01,14,0.18,,
318010,팜스빌 ,12000,-500,-4,805,14.91,4273,2.81,100,0.83,,
319400,엔에이치스팩14호 ,2055,5,0.24,,,,,0,0,,
319660,피에스케이 ,15700,-150,-0.95,,,,,0,0,,
320000,하나금융13호스팩 ,2060,-10,-0.48,,,,,0,0,,
321260,유진스팩4호 ,2070,0,0,,,,,0,0,,
322180,티라유텍 ,20200,1550,8.31,508,39.76,2374,8.51,0,0,,
322780,DB금융스팩7호 ,2065,5,0.24,,,,,0,0,,
323210,이베스트이안스팩1호 ,2055,0,0,,,,,0,0,,
323230,신한제5호스팩 ,2060,-15,-0.72,,,,,0,0,,
